ID Number,Project Name,Year Reported,"Brief Habitat Description (sources of impacts, significant features, site uses, etc.)",Project Description,GPRA Habitat Type (more complex),Habitat Type (basic ESA categories)(existing databases),HMPU Habitat Type for Restoration,Restoration Technique (GPRA dropdown menu),GPRA Activity (slightly more complex),Basic Activity (Enhance/Rest),"Previously Reported (same location, different technique) (Yes/No dropdown menu)?",Acres,Linear Miles,Linear Feet,"Latitude (decimal degrees, minimum 3 decimals)","Longitude (decimal degrees, minimum 3 decimals)","Lead Partner/Implementor (please spell out everything, no acronyms)","Other Partners (please spell out everything, no acronyms)",Site Ownership,Total Project Cost (best guess),Donated Land at no cost (Yes/No dropdown menu),Primary Funding Source,Project Benefits (dropdown menu),Photo 1 (Before) Credit,Photo 1 (Before) Caption,Photo 2 (During) Credit,Photo 2 (During) Caption,Photo 3 (After) Credit,Photo 3 (After) Caption,Project Completion Date (month/year) (start date prior to 2020),TBEP Notes,Oyster?
E-369,Weedon Island Preserve Exotic Vegetation Maintenance,2020,"Scrubby flatwoods and coastal hammock, exotic plant species impacting native vegetation","Herbicide treatment (glyphosate and triclopyr), re-treating areas currently in maintenance, rosary pea, lygodium, Brazilian pepper, Australian almund tree, punk tree, cogon grass, Guinea grass, ceasar weed, Sesbania, Pluchea carolinensis, carrotwood, Lantana, and Chinese tallow. All hardwoods were basally treated or if near water were cut and stump treated with triclopyr. All others were foliar treated with glyphosate.",Forest/Woodland,Mix (freshwater and upland),Coastal Uplands,Invasives Control/Removal - Vegetation,Maintenance,Enhancement,Yes,354,,,27.848,-82.608,Pinellas County Parks and Conservation Resources,Florida Fish and Wildlife Conservation Commission Herbicide Bank,Florida Internal Improvement Trust Fund & Pinellas County,800,No,Pinellas County General Operating Budget,Protect/improve/provide habitat for other wildlife,,,,,,,Annual,,
E-370,Woodstork Pond Connection,2020,Tidal stream connecting Wood Stork Pond to Tampa Bay Estuary via Long Bayou (Boca Ciega Bay),Project included Brazilian pepper removal and tidal stream dredging to restore tidal flushing,Forested Wetland,Estuarine,Mangrove Forests,Invasives Control/Removal - Vegetation,Enhancement,Enhancement,No,,,800,27.82864,-82.7728,Shores of Long Bayou Community Association,Tampa Bay Estuary Program,Shore of Long Bayou Community Association,13000,No,Bay Mini-Grant,Restore natural hydrology,Ernie Franke,Brazillian pepper forest starting to fill in the tidal stream and shoreline,Ernie Franke,Brazillian pepper removal and chipping. Chips stayed on-site,Ernie Franke,Brazillian Pepper cleared allowing opening up shoreline and stream,2019-Dec-,,
LS-084,McKay Bay South Oyster Reef Community Construction Project (PRF 15-05),2020,"The project will occur in an area where seagrasses have been lost due to decreased water clarity associated with nutrient over-enrichment prior to 1980 as well as having suffered from many years of developmental impacts, including dredge and fill activities, urban and industrial stormwater runoff, & industrial contamination.","Installation of new oyster shell bars and circular oyster beds along the southwestern shoreline of McKay Bay. The project’s goal is to create a greater surface area for settling oyster larvae, create habitat niches for other benthic organisms, and improve long-term water quality conditions through natural biological filtration services that oyster provide. The project will also benefit the Tampa Bay community by promoting environmental stewardship while offering hands-on opportunities to participate in Tampa Bay habitat restoration activities.",Hard Bottom,Estuarine,Oyster Bars,Reef Construction - Natural Materials,Establishment,Restoration,No,,,"3,219",27.93079,-82.42497,"Tampa Bay Watch, Inc","Mosaic Company Foundation, Tampa Bay Environmental Restoration Fund, the Royal Bank of Canada, the US Fish and Wildlife Service, Bloomin’ Brands, the Mosaic Foundation, and 1,177 community volunteers.",Port Tampa Bay,222000,No,Tampa Bay Watch,Improve or protect water quality,,,,,,,2019-Nov-,TBERF,x
LS-085,Alafia Bird Sanctuary Oyster Bar Phase 2,2020,"Project is to control erosion on the south side of Bird Island, part of the Alfia Bird Sanctuary in Tampa Bay.","Creation of an oyster bar on the south side of Bird Island to control erosion of the bird sanctuary islands and control pollution by providing substrate for oysters that will filter water, and promote growth of salt marsh grass and mangrove vegetation.",Hard Bottom,Estuarine,Oyster Bars,Shoreline Stabilization/Enhancement,Establishment,Restoration,No,,,750,27.84859,-82.40684,Audubon Florida,,The Mosaic Company and Port Tampa Bay,76500,No,EPC Pollution Recovery Fund (PRF 13-01),Protect/improve/provide habitat for birds,,,,,,,2017-Feb-,,x
LS-086,Ignacio Haya Park Living Shoreline Project,2020,"Oligohaline shoreline section of the Hillsborough River (eastside, just below the Hillsborough Aveune bridge). Boat wake derived shoreline erosion  negatively affecting native marsh at this passive linear park.","This 2,200 linear feet of park has mild to excessive erosion caused by boat wakes. This erosion has undercut the native trees, washed out the native plants/sediments, and this site has pockets of non-native vegetation. These issues were all addressed by implementing a Living Shoreline (LS) treatment, consisting of narrow band of rock placed approximately 10 feet from the original shoreline; these rocks will disrupt the boat wakes, allowing the banks to be restored with sediment and native wetland plants. Installed species included Spartina alterniflora, S. bakeri, S. patens, muhly grass, and dune sunflower.",Tidal Wetland: Sheltered waters along the coast which are affected by both tides and freshwater run-off.,Freshwater,Living Shorelines,Reestablishment,Reestablishment,Restoration,No,,,2200,27.9937,-82.46508,Ecosphere Restoration Institute,"City of Tampa, EPC, TBEP (TBERF)",City of Tampa,153000,Donated Land at no cost (Yes),"Primary Funding Source: TBERF ($76K), EPC ($47K), City of Tampa ($30K), & ERI ($8K)",Project Benefits (June 2020),Photo 1 (Before) Credit - T. Ries,Photo 1 (Before) Caption:  North end facing south; of eroded shoreline and exposed stormwater drainage pipe,Photo 2 (During) Credit - T. Ries,Photo 2 (During) Caption:  Central zone; rock revetment being placed at low tide,Photo 3 (After) Credit - T. Ries,"Photo 3 (After) Caption:  South end , plants recently installed (June 2020)",Project Completion Date (June/2020),TBERF,
LS-087,Little Bird Key Oyster Reef Ball Project,2020,"Little Bird Key - part of the Pinellas National Wildlife Refuge Islands, located just east of Tierra Verde.  The keys northwestern shoreline experiences severe erosion due to boat waking from adajacent channel.",Installing Oyster Reef Balls on the northwestern shoreline with community volunteers,Estuarine Shoreline,Estuarine,Oyster Bars,Shoreline Stabilization/Enhancement,Enhancement,Enhancement,No,,,500,27.68541,-82.71712,Tampa Bay Watch,"Tampa Bay Estuary Program Bay-Mini Grant, Friends of Tampa Bay Refuges, Tampa Bay Environmental Restoration Fund",US Fish and Wildlife,96000,No,TBERF,Erosion Control,,,,,,,2019-Dec-,TBERF,x
LS-088,MacDill Native Planting Arbor Day,2020,Previously highly disturbed area with recent prior prescribed fire imlementation.,The planting of 150 native plants (wiregrass and longleaf pine) for Arbor Day 2020.  In a previosuly disturbed area that received precribed fire in May 2019.  These plantings will help stimulate native plant growth and provide additional wildlife habitat.,Forest/Woodland,Uplands,Coastal Uplands,Planting,Rehabilitation,Enhancement,No,1,,,27.84979,-82.52998,United States Air Force,Ground Level Inc.,USAF,380,No,United States Air Force,Protect/improve/provide habitat for other wildlife,,,,,,,2020-Jan-,,
LS-089,Maximo Park Coastal Upland Restoration Project,2020,Coastal upland habitat with archaeological site with consistent recreational use,"The St. Petersburg Parks and Recreation Dept. removed all FLEPPC category I & II invasive plants and trees in the southeast and northwest portions of Maximo Park. This was accomplished through mechanical, manual, and chemical treatments. Species targeted included Brazilian pepper, carrotwood, schefflera, rosery pea, and Caesar weed.",Forest/Woodland,Uplands,Coastal Uplands,Invasives Control/Removal - Vegetation,Rehabilitation,Enhancement,No,18,,,27.71076,-82.68054,City of St. Petersburg,Tampa Bay Estuary Program,City of St. Petersburg,80000,No,Tampa Bay Estuary Program,Protect/improve/provide habitat for other wildlife,,,,,,,Not completed yet,,
R-141,Cockroach Bay Planting,2020,"Cockroach Bay Nature Preserve is 500 acres of wetlands, uplands and coastal habitats. Restoration took place on a secondary dune of 'Mount Cockroach', a hill created from intertidal excavation.","23 volunteers planted coastal upland species, including Licania michauxii, Gaillardia pulchella, and Muhlenbergia capallaris in an area where invasive plants were recently removed.",Dune,Uplands,Coastal Uplands,Sand Dune Restoration,Establishment,Restoration,No,0.3,,,27.69233,-82.50491,Tampa Bay Estuary Program,Hillsborough County,Hillsborough County,500,No,EPA Work Plan,Protect/improve/provide habitat for other wildlife,,,,,,,2020-Jan-,,
R-142,Duette Preserve Long Leaf Pine Canopy Restoration,2020,Upland habitats with high quality understory vegetative composition which had been historically logged wich removed overstory from the landscape.,"Continue canopy restoration effort in longleaf pine savannahs via planting of 5,000 containerized 1 gallon Long leaf pines (Pinus palustris)",Forest/Woodland,Uplands,Uplands (Non-coastal),Planting,Reestablishment,Restoration,,172,,,27.51405,-82.16678,Manatee CountyParks & Natural Resources Department,,Manatee County,2500,,,,,,,,,,2020-Aug-,,
R-143,Egmont Key Invasive Removal and Re-vegetation,2020,"Egmont Key is a 270 acre island and National Wildlife Refuge located at the mouth of Tampa Bay.  The island serves as an important nesting site for birds and sea turtles.  Rich in cultural history, the island is a popular destination for local boaters and is cooperatively managed with the DEP as a unit of the Florida Park Service.","The Service contracted for the chemical treatment (using Pathfinder, Tribune and Cornerstone) of invasive non-native and invasive native vegetation throughout the 270 acres in order to enhance nesting habitat for species such as Black skimmers, Royal terns, Sandwich terns, American Oystercatchers, and Brown pelicans.  As part of the project, approximately 270,000 native seedlings of various species including Sea oats, Beach grass, and Sea grapes were planted in treated areas.",Island,Uplands,Coastal Uplands,Invasives Control/Removal - Vegetation,Reestablishment,Restoration,No,270,,,27.5898,82.76282,US Fish & Wildlife Service,Florida Park Service,US Fish & Wildlife Service,294000,No,US Govt.,Protect/improve/provide habitat for birds,,,,,,,2020-Jun-,,
R-144,Emerson Point Preserve 2020 Planting,2020,Prior upland restoration habitat used to implement regeneration of endangered plant species.,"Growing out and planting federally endangered plant, Harrisia aboriginum",Forest/Woodland,Uplands,Coastal Uplands,Planting,Reestablishment,Restoration,Yes,0.1,,,27.53503,-82.62681,Manatee County Parks & Natural Resources Department,United States Fish and Wildlife Service,Manatee County,15000,,,,,,,,,,2020-Sep-,,
R-145,Little Manatee River SAV Restoration Project (PRF 15-06),2020,This project shall enhance aquatic habitat in the Little Manatee River by restoring submerged aquatic vegetation.,Restoring submerged aquatic vegetation and measuring the effectiveness of two unique planting methods. Tape grass (Vallisneria americana) will be reintroduced into the river through GrowSAV Herbivory Exclusion Cages and mechanical planting. Data collected will be used to determine the effectiveness of the two planting technologies.,Submerged Aquatic Vegetation (SAV),Freshwater,Non-forested Freshwater Wetlands,Planting,Reestablishment,Restoration,No,1.2,,,27.67597,-82.40633,Sea & Shoreline LLC,,Port Tampa Bay,57032,No,EPC Pollution Recovery Fund,Improve or protect water quality,,,,,,,2019-Feb-,,
R-147,Rye Preserve Restoration,2020,Upland habitats that had degraded due to a history of fire exclusion.,Mechanical vegetation reduction to restore system and facilitate prescribed fire for the benefit of gopher tortoises,Forest/Woodland,Uplands,Uplands (Non-coastal),Debris Removal,Reestablishment,Restoration,,30,,,27.51528,-82.36186,Manatee CountyParks & Natural Resources Department,Florida Forest Service,Manatee County,20000,,,,,,,,,,2020-Sep-,,
R-149,Vertical Oyster Gardening,2020,Volunteer docks were used to grow oyster spat before use in oyster restoration projects.,"Volunteers built and installed over 1000 Vertical Oyster Gardens throughout Gulfport, Florida",Estuarine Water Column,Estuarine,Oyster Bars,Oyster Gardening,Establishment,Restoration,No,,,1000,27.748,-82.703,Tampa Bay Watch,Tampa Bay Estuary Program,Private Gulfport Homeowners,15000,No,Bay Mini-Grant,Improve or protect water quality,Tampa Bay Watch,Installation of VOGs hanging of the dock,Tampa Bay Watch,Youth volunteers monitoring fouling/ growth on the young oyster gardens,Tampa Bay Watch,Vertical Oyster Garden after several months of deployment,2019-Dec-,,x
R-150,Winston Tract Replanting,2020,Former agricultural land that had been sodded and mowed.,"Developed and implemented a planting plan to restoration trajectory of coastal hammock. 28 volunteers from Tampa Bay Estuary Program (through their Give-A-Day activities) planted coastal wetland species including Gaillardia pulchella, Aristida stricta, and Coreopsis sp. in Manatee County's Robinson Preserve along a trail extension.",Forest/Woodland,Uplands,Coastal Uplands,Planting,Establishment,Restoration,No,1.2,,,27.49945,-82.66066,Manatee County Parks & Natural Resources Department,Tampa Bay Estuary Program (Tampa Bay Environmental Restoration Fund and Give-A-Day),Manatee County,14500,,Tampa Bay Environmental Restoration Fund,Protect/improve/provide habitat for other wildlife,,,,,,,2020-Feb-,,
E-371,Cypress Creek Land Donation,2021,Donated pasture,Donated Land,Agriculture/Ranch Land,Uplands,Uplands (Non-coastal),Land Acquisition,Protection,Enhancement,No,967,,,28.261,-82.441,Southwest Florida Water Management District,,Southwest Florida Water Management District,N/A,Yes,N/A,Protect/improve/provide habitat for other wildlife,,,,,,,12/30/2020,,
E-372,McKay Bay Nature Park Invasive Removal,2021,"McKay Bay Nature Park is a 38-acre park in Tampa. There is a 900-foot boardwalk trail through mangroves and mudflats, an observation tower that doubles as an education pavilion, a paved 1.25-mile multi-use trail and .5-mile nature trail. Picnic tables and interpretive signage are offered.","Volunteers removed 10,600 pounds of invasive plants such as Brazilian pepper",Mangrove,Estuarine,Mangrove Forests,Invasives Control/Removal - Vegetation,Maintenance,Enhancement,,2,,,27.953,-82.421,Keep Tampa Bay Beautiful,Port Tampa Bay,City of Tampa,3000,,Keep Tampa Bay Beautiful,Protect/improve/provide habitat for fish/shellfish,,,,,,,10/14/2020,,
E-373,Mosaic Park Planting,2021,"Mosaic Park, operated by Hillsborough County, includes approximately 800 feet of shoreline near the mouth of the Alafia River.",Volunteers planted 200 mangroves along the shoreline of Mosaic Park to restore the shoreline and prevent erosion. ,Mangrove,Estuarine,Mangrove Forests,Planting,Rehabilitation,Enhancement,No,0.1,,,27.864,-82.383,Keep Tampa Bay Beautiful,,,8000,,Keep Tampa Bay Beautiful,Protect/improve/provide habitat for fish/shellfish,,,,,,,12/2/2020,,
E-374,Picnic Island Park Planting,2021,Picnic Island Park is on the Interbay Peninsula just west of MacDill Air Force Base and includes mangroves and coastal uplands.,Volunteers planted 171 mangroves along the shoreline of Picnic Island Park to restore the shoreline and prevent erosion. ,Mangrove,Estuarine,Mangrove Forests,Planting,Rehabilitation,Enhancement,Yes,0.1,,,27.85,-82.554,Keep Tampa Bay Beautiful,,,5000,,Keep Tampa Bay Beautiful,Protect/improve/provide habitat for fish/shellfish,,,,,,,12/5/2020,,
E-375,Boca Ciega Millennium Park,2021,"Scrubby flatwoods, mangrove swamp xeric hammock, salt marsh, Public recreation","Herbicide treatment (glyphosate and triclopyr), re-treating areas currently in maintenance, rosary pea, air potato, Brazilian pepper, Australian almund tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, scaevola+ - all hardwoods basil treated or near water cut and stump treated with triclopyr, all others were foliar treated with glyphosate",Other,Mix (freshwater and upland),Coastal Uplands,Invasives Control/Removal - Vegetation,Maintenance,Enhancement,No,72,,,27.835,-82.811,Pinellas County Parks and Conservation Resources,None,Pinellas County,,No,Pinellas County Operating,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-376,Brooker Creek Education Center Loop North Burn,2021,Sandhill & flatwoods in Brooker Creek Preserve,ecological prescribed burn,Forest/Woodland,Uplands,Uplands (Non-coastal),Prescribed Burn,Enhancement,Enhancement,No,30,,,28.1389,-82.6591,Florida Forest Service,Pinellas County,Pinellas County,3000,No,Services in lieu of rent for FFS work site,Protect/improve/provide habitat for other wildlife,,,,,,,21-Feb,,
E-377,Brooker Creek Headwaters Nature Preserve,2021,"Forest/Woodland: An area of land covered by trees and understory vegetation, sometimes mixed with pasture; forests are described in terms of crown cover, such as closed forest, open forest, woodland and open woodland, and in terms of height of the tallest stratum, such as tall (over 30 meters), medium (10-30 meters) and low trees (under 10 meters).",Improve pine flatwoods habitat boundary and reduce fuels to facilitate prescribed burning in urbanized area ,Forest/Woodland,Uplands,Uplands (Non-coastal),Other,Enhancement,Enhancement,No,1,,,28.15005,-82.55112,Hillsborough County,,SWFWMD / Hillsborough County,4750,No,BOCC,Protect/improve/provide habitat for other wildlife,,,,,,,2021-Apr-,,
E-378,Brooker Creek Preserve Flatwoods Restoration,2021,Flatwoods in Brooker Creek Preserve,To restore the flatwoods’ biodiversity and reduce the high fuel loads through mechanical thinning with use of mulching head mower equipment.  This will also allow these areas to be burned under safer conditions and put on a regular burn regime to maintain the plant biodiversity which will also provide good habitat for resident wildlife,Forest/Woodland,Uplands,Uplands (Non-coastal),Debris Removal,Enhancement,Enhancement,No,266,,,28.083,-82.669,Pinellas County ,none,"Pinellas County, SWFWMD",250035,No,Operating Budget,Protect/improve/provide habitat for other wildlife,,,,,,,21-May,,
E-379,Camp Bayou Nature Preserve,2021,"Forest/Woodland: An area of land covered by trees and understory vegetation, sometimes mixed with pasture; forests are described in terms of crown cover, such as closed forest, open forest, woodland and open woodland, and in terms of height of the tallest",Improve pine flatwoods habitat and reduce fuels to facilitate prescribed burning in urbanized area ,Forest/Woodland,Uplands,Uplands (Non-coastal),Other,Enhancement,Enhancement,No,11,,,27.66821,-82.40161,Hillsborough County,,Hillsborough County,3421,No,BOCC,Protect/improve/provide habitat for other wildlife,,,,,,,21-Apr,,
E-380,Center for Conservation Planting,2021,"The Center for Conservation (CFC) is a 20-acre campus located in Apollo Beach, Florida and exists as a partnership between the Tampa Electric Company (TECO), the Florida Aquarium, the Florida Fish and Wildlife Conservation Commission (FWC), and the University of Florida. Habitats include mangroves, salt barrens, salt marshes, and coastal uplands.",Volunteers planted 750 seedlings within the conservation area to enhance habitat. ,Mangrove,Estuarine,Mangrove Forests,Planting,Rehabilitation,Enhancement,Yes,0.2,,,27.78,-82.402,Keep Tampa Bay Beautiful,Temple Terrace,,2000,,Keep Tampa Bay Beautiful,Protect/improve/provide habitat for fish/shellfish,,,,,,,4/22/2021,,
E-381,Chito FY21 Habitat Maintenance,2021,"Chito surrounds the C.W. Bill Young Regional Reservoir.  The property consists of wetlands, pine and scrubby flatwoods, scrub, freshwater marsh, and pasture.","Control of invasive plants including Cogon Grass, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone).",Forest/Woodland,Mix (freshwater and upland),Uplands (Non-coastal),Invasives Control/Removal - Vegetation,Rehabilitation,Enhancement,Yes,808,,,27.811,-82.166,Southwest Florida Water Management District,,Southwest Florida Water Management District,21611,No,Internal,Protect or preserve open space,,,,,,,7/26/2021,,
E-382,Coffeepot Bayou Watershed Alliance Invasive Removal and Water Quality Monitoring In Smacks Bayou,2021,Mangove habitat along highly utilized bayou draining into Tampa Bay,Debris removal along the shoreline and outer edge of a mangrove forest,Mangrove,Estuarine,Mangrove Forests,Debris Removal,Enhancement,Enhancement,No,,0.09469697,500,27.79951,-82.62344,"Coffeepot Bayou Watershet Alliance, Canterbury School of Florida, Snell Isle Neighbood Association, Keep Pinellas Beautiful, UF LAKEWATCH, North Shore Elementary, Boy Scout Troup 219",Tampa Bay Estuary Program,City of St. Petersburg,3600,No,Bay Mini-Grant,Improve or protect water quality,,,,,,20-Dec,,,
E-383,Coker FY21 Habitat Maintenance,2021,"Dominant natural communities include pine flatwoods, scrubby flatwoods, scrub, freshwater marsh, and hardwood hammock. Southern marsh retains water after rains and slowly releases into the Myakka River.","Control of invasive plants including Cogon Grass, Brazilian Pepper Tree, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone).",Forest/Woodland,Mix (freshwater and upland),Uplands (Non-coastal),Prescribed Burn,Maintenance,Enhancement,Yes,189,,,27.448,-82.2,Southwest Florida Water Management District,,Southwest Florida Water Management District,7085,No,Internal,Protect or preserve open space,,,,,,,7/26/2021,,
E-384,Cypress Creek FY21 Habitat Maintenance,2021,Cypress Creek is a tributary of the Hillsborough River. Cypress Creek threads its way through cypress and hardwood forest. Property includes high ridges and flatwoods.,"Control of invasive plants including Cogon Grass and Old World climbing fern, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone)",Forest/Woodland,Uplands,Uplands (Non-coastal),Invasives Control/Removal - Vegetation,Maintenance,Enhancement,Yes,2199,,,28.271,-82.411,Southwest Florida Water Management District,,Southwest Florida Water Management District,50559,No,Internal,Protect or preserve open space,,,,,,,7/26/2021,,
E-385,Double Branch Nature Preserve,2021,Forest/Woodland along wih Tidal Wetland: Sheltered waters along the coast which are affected by both tides and freshwater run-off.,Herbicide application for exotic/invasive plant species removal and control.,Forest/Woodland,Mix (estuarine and upland),Coastal Uplands,Invasives Control/Removal - Vegetation,Enhancement,Enhancement,No,155,,,28.01931,-82.62445,Hillsborough County,,Hillsborough County,19996,No,BOCC,Protect/improve/provide habitat for other wildlife,,,,,,,21-Jul,,
E-386,Duette Preserve Habitat Management Activities,2021,"Duette Preserve contains the headwaters of Manatee River. A wide variety of game and non-game animals can be found out at Duette Preserve, including the burrowing owl, snowy egret, white ibis, gopher tortoise, and at least three endangered/threatened species. Duette Preserve is host to many of the native plant communities throughout Manatee County, providing protection and preservation of pine flatwoods, hardwood swamps, xeric oak scrub, depression marsh, and vast dry prairie.","Removal of feral hogs, preparation for prescribed fire, and targeted treatment of cogon grass and other invasive exotic plants. Foliar application of systemic herbicides from backpack and UTV mounted spray systems using Imazapyr, Aminopyralid, Glyphosate, and Triclopyr ester pursuant to label rates based by habitat type and adjacent vegetation composition as approved by County staff.",Forest/Woodland,Uplands,Uplands (Non-coastal),Invasives Control/Removal - Vegetation,Maintenance,Enhancement,Yes,11000,,,27.5157,-82.16713,Florida Fish and Wildlife Conservation Commission,,Manatee County,85000,,Florida Fish and Wildlife Conservation Commission,Protect/improve/provide habitat for other wildlife,,,,,,,2021,,
E-387,Ft. De Soto Park Exotic Vegetation Maintenance,2021,"Scrub, beach dune, coastal grassland, maritime hammock, shell mound, mesic flatwoods, tidal swamp, Public recreation","Herbicide treatment (glyphosate and triclopyr), re-treating areas currently in maintenance, rosary pea, air potato, Brazilian pepper, Australian almund tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, scaevola+ - all hardwoods basil treated or near water cut and stump treated with triclopyr, all others were foliar treated with glyphosate",Other,Mix (estuarine and upland),Coastal Uplands,Invasives Control/Removal - Vegetation,Maintenance,Enhancement,Yes,575,,,27.624,-82.715,Pinellas County Parks and Conservation Resources,None,Pinellas County,43000,No,Pinellas County Operating,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-388,Gilley FY21 Habitat Maintenance,2021,"Protects the main branch of Gilley Creek, a tributary of the Manatee River.  Consist of converted agriculture and undisturbed areas of native habitat.","Control of invasive plants including Cogon Grass, Brazilian Pepper Tree, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone).",Forest/Woodland,Uplands,Uplands (Non-coastal),Invasives Control/Removal - Vegetation,Rehabilitation,Enhancement,Yes,4059,,,27.526,-82.265,Southwest Florida Water Management District,,Southwest Florida Water Management District,157117,No,Internal,Protect or preserve open space,,,,,,,7/26/2021,,
E-389,Give-A-Day at Fort DeSoto,2021,"Beach and sand dune area, adjacent coastal hammock and back dune.","Debris removal from Fort De Soto to reduce negative affects of trash on nesting birds and sea turtles. In total, 35 volunteers removed 78 lbs of debris from the area",Dune,Uplands,Coastal Uplands,Debris Removal,Maintenance,Enhancement,,,0.284090909,"1,500",27.6427,-82.74093,Tampa Bay Estuary Program,"Keep Pinellas Beautiful, IDEAS for US",Florida Department of Environmental Protection,,,,,,,,,,,,,
E-390,Give-A-Day at Gandy Beach,2021,"Mangrove fringing coaseway, significant recreational use by paddlers who launch between the mangrove forests. Heavily utilized by native shorebirds for nesting",This event was a great display of partnership to protect a beloved natural resource and debris hotspot. 25 volunteers attended and removed over 400 pound of debris from the beach access along Gandy beach,Mangrove,Estuarine,Mangrove Forests,Debris Removal,Maintenance,Enhancement,,,0.018939394,100,27.87577,-82.59432,Tampa Bay Estuary Program,"Keep Pinellas Beautiful, Audubon Florida, St. Petersburg Audubon Society",Florida Department of Transportation,296,,,,,,,,,,,,
E-391,Give-A-Day at Salt Creek,2021,Local park with mostly manicured lawn along a tidal creek with a mangrove fringe,This event was a celebration of initiation of restoration efforts at Salt Creek. Around 50 volunteers from around the area participated in the planting of 144 long leaf pine saplings and wiregrass pots,Field Meadow,Mix (estuarine and upland),Coastal Uplands,Planting,Enhancement,Enhancement,,,0.113636364,600,27.74931,-82.64022,Tampa Bay Estuary Program,"City of St. Petersburg, Keep Pinellas Beautiful, Sigma Beta, Friends of Salt Creek",City of St. Petersburg,535,,,,,,,,,,,,
E-392,Give-A-Day- 4th Street,2021,"Mangrove fringing coaseway, significant recreational use by paddlers who launch between the mangrove forests.",18 adults and 6 youths removed trash and debris washed in from the storm surge of Tropical Storm Eta at the St. Pete Fishing Pier.,Mangrove,Estuarine,Mangrove Forests,Debris Removal,Maintenance,Enhancement,,,0.189393939,"1,000",27.89401,-82.63862,Tampa Bay Estuary Program,Keep Pinellas Beautiful,Florida Department of Transportation,243,,,,,,,,,,,,
E-393,Give-A-Day- Cockroach Bay,2021,"Restored oyster mound now covered with grasses, wildflowers, and cycads","30 volunteer planted 12000 Muhly Grass, mimosa, and coontie as part of the ongoing restoration efforts on Mount Cockroach at Cockroach Bay Nature Preserve.",Grassland,Uplands,Coastal Uplands,Planting,Enhancement,Enhancement,,,0.284090909,1500,27.69233,-82.50412,Tampa Bay Estuary Program,Hillsborough COunty,Hillsborough County,280.45 (FY18-$162.27; FY19-$118.18),,,,,,,,,,,,
E-394,Give-A-Day- Land O Lakes,2021,Roadside and ditch in an industrial/ agriculture area of Pasco County,"18 volunteers removed a total of 2000 lbs of debris from a trash collection Hot Spot in Land O' Lakes. Volunteers removed both trash, and larger debris including derelict car pices, shopping carts, and other materials disposed of in the ditches.",Other,Uplands,Uplands (Non-coastal),Debris Removal,Maintenance,Enhancement,,,0.473484849,2500,28.21535,-82.46424,Tampa Bay Estuary Program,Pasco County,Florida Department of Transportation,231,,,,,,,,,,,,
E-395,Give-A-Day- Robinson Preserve,2021,"Coastal upland grassland/ meadow continually being restored, adjacent to Palma Sola Bay with mangrove fringe",20 volunteers planted 1000 wiregrass plugs at the Robinson Preserve expansion,Field Meadow,Uplands,Coastal Uplands,Planting,Enhancement,Enhancement,,0.25,0,,27.49925,-82.66041,Tampa Bay Estuary Program,Manatee County,Manatee County,287,,,,,,,,,,,,
E-396,Give-A-Day-Wood You,2021,"Recently restored mangrove wetland, adjacent coastal hammock, salt flat, and oyster reef","Tropical Storm Eta brought a 4 ft storm surged which washed debris and lumber on the STEM Center property. Much of the lumber was still in good condition. Project invited crafters, artists, and gardens alike to come out and take as much lumber from the property as they needed",Forested Wetland,Mix (estuarine and upland),Mangrove Forests,Debris Removal,Maintenance,Enhancement,,,0.473484849,2500,27.81078,-82.7861,Tampa Bay Estuary Program,"Keep Pinellas Beautiful, St. Pete College",St. Petersburg Collece,518,,,,,,,,,,,,
