View_Detail,Federal_Fiscal_Year,Region,State_Code,NEP_Name,Project_Name,Project_Description,Habitat_Description,Habitat_Type,Restoration_Technique,Donated_Land,Data_Unavailable,EPA_Section_320,Total_Project_Cost,Project_Benefits,Activity_Name,Lead_Implementer,Partners,Main_Funding_Source,Site_Owner,Last_Updated_Date,NEP_Comments,HQ_Comments,HQ_Status,Region_Status,Total_Cost,Author,Submitter_Email,PrimaryHabitat,SecondaryHabitat,Acres,Miles,Latitude,Longitude,Feet,ID_Number,GeneralHabitat,GeneralActivity,BeforePhotoCredit,BeforePhotoCaption,DuringPhotoCredit,DuringPhotoCaption,AfterPhotoCredit,AfterPhotoCaption,TBEP_Notes
21117,2021,Region 4,FL,Tampa Bay Estuary Program,Alafia River SP Longleaf Ecosystem Reclamation,"Fire, invasive management prep; 44,000 longleaf planted on 107 ac of prepped area",Post-mining & pasturage sites being reclaimed to sandhill & mesic flatwoods,Forest/Woodland,Planting,,,0,62605,Protect/improve/provide habitat for other wildlife,Reestablish,FL Park Service w Longleaf Alliance funds through National Fish & Wildlife Foundation,,Longleaf Alliance/Nat'l Fish & Wildlife Foundation,FL Trustees/DEP,28-SEP-21 11.48.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,146,,2.77785,-82.12379,,R-151,Uplands,Restoration,,,,,,,
21105,2021,Region 4,FL,Tampa Bay Estuary Program,Boca Ciega Millennium Park,"Herbicide treatment (glyphosate and triclopyr), re-treating areas currently in maintenance, rosary pea, air potato, Brazilian pepper, Australian almund tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, scaevola+ - all hardwoods basil treated or near water cut and stump treated with triclopyr, all others were foliar treated with glyphosate","Scrubby flatwoods, mangrove swamp xeric hammock, salt marsh, Public recreation",Other,Invasives Control/Removal - Vegetation,No,,0,,Protect/improve/provide habitat for other wildlife,Maintenance,Pinellas County Parks and Conservation Resources,None,Pinellas County Operating,Pinellas County,29-SEP-21 08.50.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Coastal Uplands,,72,,27.835,-82.811,,E-375,Other,Enhancement,,,,,,,
21108,2021,Region 4,FL,Tampa Bay Estuary Program,Boyd Hill Nursery Planting,"The planting took place between April 6th-9th thanks to our staff of rangers, maintenance crew, supervisors and a slew of amazing volunteers.  We planted 3,000+ Florida native plants, including 2,000+ Wiregrass, over 700 Elliott’s Lovegrass, 250 Blazing Star and 25 Prickly Pear to restore a disturbed uplands area that is now part of the trail expansion at the preserve.  We chose these plants to provide habitat for our gopher tortoises & other wildlife, to support our native pollinators, and to help regenerate the disturbed soil through the plant’s root system.",Disturbed land previously used as a nursery. The area is currently used for recreational purposes. Grassland,Field/Meadow,Planting,No,,0,5000,Improve/increase educational or recreational opportunities,Reestablish,City of St Petersburg,"Margaret & David Perry Foundation, Keep Pinellas Beautiful, Boyd Hill Volunteers",Donation from the Margaret & David Perry Foundation,,28-SEP-21 08.32.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,2,,27.736667,-82.664444,,R-152,Uplands,Restoration,,Aerial view of area,,,,After planting,
21120,2021,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Headwaters Nature Preserve,Improve pine flatwoods habitat boundary and reduce fuels to facilitate prescribed burning in urbanized area ,"Forest/Woodland: An area of land covered by trees and understory vegetation, sometimes mixed with pasture; forests are described in terms of crown cover, such as closed forest, open forest, woodland and open woodland, and in terms of height of the tallest stratum, such as tall (over 30 meters), medium (10-30 meters) and low trees (under 10 meters).",Forest/Woodland,Other,No,,0,4750,Protect/improve/provide habitat for other wildlife,Enhancement,Hillsborough County,,BOCC,SWFWMD / Hillsborough County,28-SEP-21 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,1,,28.15005,-82.55112,,E-377,Uplands,Enhancement,,,,,,,
21142,2021,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve Flatwoods Restoration,To restore the flatwoods’ biodiversity and reduce the high fuel loads through mechanical thinning with use of mulching head mower equipment.  This will also allow these areas to be burned under safer conditions and put on a regular burn regime to maintain the plant biodiversity which will also provide good habitat for resident wildlife,Flatwoods in Brooker Creek Preserve,Forest/Woodland,Debris Removal,No,,0,250035,Protect/improve/provide habitat for other wildlife,Enhancement,Pinellas County,none,Operating Budget,"Pinellas County, SWFWMD",28-SEP-21 11.40.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,266,,28.083,-82.669,,E-378,Uplands,Enhancement,,,,,,,
21123,2021,Region 4,FL,Tampa Bay Estuary Program,Camp Bayou Nature Preserve,Improve pine flatwoods habitat and reduce fuels to facilitate prescribed burning in urbanized area ,"Forest/Woodland: An area of land covered by trees and understory vegetation, sometimes mixed with pasture; forests are described in terms of crown cover, such as closed forest, open forest, woodland and open woodland, and in terms of height of the tallest",Forest/Woodland,Other,No,,0,3421,Protect/improve/provide habitat for other wildlife,Enhancement,Hillsborough County,,BOCC,Hillsborough County,28-SEP-21 12.00.00.000000000 AM -05:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,11,,27.66821,-82.40161,,E-379,Uplands,Enhancement,,,,,,,
21130,2021,Region 4,FL,Tampa Bay Estuary Program,Canterbury Restoration,"Students removed invasive species, planted native species and stabilized shoreline",Shoreline restoration within wooded mangrove forest and brackish water creek that slows directly in Tampa Bay,Forested Wetland,Shoreline Stabilization/Enhancement,No,,0,5000,Improve/increase educational or recreational opportunities,Establishme,Canturbury School of Florida; Shoreacres elementary; First Presbyterian Day School,Tampa Bay Estuary Program,Bay Mini-Grant,Canturbury School of Florida,27-SEP-21 04.49.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Living Shorelines,Living Shorelines,,0.03,27.82475,-82.6211,150,LS-090,Estuarine,Restoration,,,,,,,
21131,2021,Region 4,FL,Tampa Bay Estuary Program,Canterbury Restoration Impact Academy Butterfly Restoration,12 volunteers planted native species to increase habitat and faunal diversity on school campus. Project will be used as an education experience for students,"Wooded, urban school campus",Field/Meadow,Planting,No,,0,500,Protect/improve/provide habitat for other wildlife,Enhancement,Impact Academy,Tampa Bay Estuary Program,Bay Mini-Grant,Impact Academy,27-SEP-21 03.35.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,,0.01,27.89932,-82.51546,40,E-397,Uplands,Enhancement,,,,,,2021-Dec-,
21086,2021,Region 4,FL,Tampa Bay Estuary Program,Cell 5 Boardwalk Planting,"The first step in this project included removal of invasive and nuisance vegetation. Afterwards, sand from on site was transported and sloped to create a wider littoral shelf. The City of Lakeland partnered with the Tampa Electric Company's stewardship volunteers to plant just over 2,200 native wetland plants.","Se7en Wetlands gets its name from the 7 constructed treatment cells on site. These cells are remnants from phosphate mining and operations. They now serve as tertiary treatment for the City of Lakeland's wastewater utility, receiving about 10,000,000 gallons on average per day of treated wastewater. As of 2018, 'Se7en Wetlands' opened to the public complete with hiking trails and boardwalks over wetlands. This planting occurred on the interior (littoral) side of the Cell 5 park boardwalk.",Freshwater Marsh,Planting,No,,0,11800,Improve or protect water quality,Establishme,City of Lakeland Se7en Wetlands,Tampa Electric Company,CIP- Wetlands Management,City of Lakeland,28-SEP-21 08.37.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Non-forested Freshwater Wetlands,,0.5,,27.91151,-81.95295,,R-165,Freshwater,Restoration,Photos '!A1,Before Planting the Cell 5 Boardwalk,,Photos '!A2,Photos Cell 5 Planting '!A3,"After plants have established, showing an alligator on shore",
21435,2021,Region 4,FL,Tampa Bay Estuary Program,Center for Conservation Planting,Volunteers planted 750 seedlings within the conservation area to enhance habitat.,"The Center for Conservation (CFC) is a 20-acre campus located in Apollo Beach, Florida and exists as a partnership between the Tampa Electric Company (TECO), the Florida Aquarium, the Florida Fish and Wildlife Conservation Commission (FWC), and the University of Florida. Habitats include mangroves, salt barrens, salt marshes, and coastal uplands.",Mangrove,Planting,,,0,2000,Protect/improve/provide habitat for fish/shellfish,Rehabilitat,Keep Tampa Bay Beautiful,Temple Terrace,Keep Tampa Bay Beautiful,,07-OCT-21 12.54.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,,0.2,,27.78,-82.402,,E-380,Estuarine,Enhancement,,,,,,,
21100,2021,Region 4,FL,Tampa Bay Estuary Program,Chito FY21 Habitat Maintenance,"Control of invasive plants including Cogon Grass, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone).","Chito surrounds the C.W. Bill Young Regional Reservoir.  The property consists of wetlands, pine and scrubby flatwoods, scrub, freshwater marsh, and pasture.",Forest/Woodland,Invasives Control/Removal - Vegetation,No,,0,21611,Protect or preserve open space,Rehabilitat,Southwest Florida Water Management District,,Internal,Southwest Florida Water Management District,27-SEP-21 03.04.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,808,,27.811,-82.166,,E-381,Mix (freshwater and upland),Enhancement,,,,,,,
21150,2021,Region 4,FL,Tampa Bay Estuary Program,Coffeepot Bayou Watershed Alliance Invasive Removal,Debris removal along the shoreline and outer edge of a mangrove forest,Mangove habitat along highly utilized bayou draining into Tampa Bay,Mangrove,Debris Removal,No,,0,3600,Improve or protect water quality,Enhancement,"Coffeepot Bayou Watershet Alliance, Canterbury School of Florida, Snell Isle Neighbood Association, Keep Pine",Tampa Bay Estuary Program,Bay Mini-Grant,City of St. Petersburg,28-SEP-21 09.36.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Mangrove Forests,,,0.09,27.79951,-82.62344,500,E-382,Estuarine,Enhancement,,,,,,45280,
21104,2021,Region 4,FL,Tampa Bay Estuary Program,Coker FY21 Habitat Maintenance,"Control of invasive plants including Cogon Grass, Brazilian Pepper Tree, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone).","Dominant natural communities include pine flatwoods, scrubby flatwoods, scrub, freshwater marsh, and hardwood hammock. Southern marsh retains water after rains and slowly releases into the Myakka River.",Forest/Woodland,Prescribed Burn,No,,0,7085,Protect or preserve open space,Maintenance,Southwest Florida Water Management District,,Internal,Southwest Florida Water Management District,28-SEP-21 02.43.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,189,,27.448,-82.2,,E-383,Mix (freshwater and upland),Enhancement,,,,,,,
21143,2021,Region 4,FL,Tampa Bay Estuary Program,Copeland Park Pond Restoration,"The project is located in the Hillsborough Bay watershed, and is an inland pond as a result of an old sinkhole. The project includes removal of sediment and invasive plant material, re-grading the shoreline and planting with native aquatic plants on the littoral shelf. The project began in April 2021, and was completed in late July, 2021.","Copeland Park pond is an inland naturally-ocurring pond above an old sinkhole. The pond is located in a public park, and is surrounded by natural trees areas, a walking trail, and picnic shelters. The park also has a large community center and swimming pool complex, restrooms, playground areas, and several parking areas. The pond has endured silt build-up over the years from runoff and has been invaded with non-native plant species.",Lake/Pond,Shoreline Stabilization/Enhancement,No,,0,240000,Improve or protect water quality,Reestablish,City of Tampa,Tampa Bay Estuary Program,RESTORE Grant thru TBEP,City of Tampa,28-SEP-21 09.49.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Forested Freshwater Wetlands,Living Shorelines,1.8,,28.05018,-82.43935,,R-153,Mix (freshwater and upland),Restoration,,Copeland Pond prior to construction. 2/2021 P. Bors,,Copeland Pond during construction 4/2021 P. Bors,,Copeland Pond at completion. 7/28/2021 P. Bors,
21149,2021,Region 4,FL,Tampa Bay Estuary Program,Crescent Lake Restoration,Selective invasive species removal and marsh reclamation to restore localized ecological diversity.,A 56-acre park with marsh and upland habitats encircling a large lake,Freshwater Marsh,Shoreline Stabilization/Enhancement,No,,0,5000,Protect/improve/provide habitat for other wildlife,Establishme,"St. Pete Sustainability, Keep Pinellas Beautiful, USFSP, Crescent Heights Neighborhood Assn., Coffeepot Bayou",Tampa Bay Estuary Program,Bay Mini-Grant,City of St. Petersbug,28-SEP-21 08.47.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Non-forested Freshwater Wetlands,,1,,27.78753,-82.64112,,R-154,Freshwater,Restoration,,,,,,,
21092,2021,Region 4,FL,Tampa Bay Estuary Program,Cypress Creek FY21 Habitat Maintenance,"Control of invasive plants including Cogon Grass and Old World climbing fern, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone)",Cypress Creek is a tributary of the Hillsborough River. Cypress Creek threads its way through cypress and hardwood forest. Property includes high ridges and flatwoods.,Forest/Woodland,Invasives Control/Removal - Vegetation,No,,0,50559,Protect or preserve open space,Maintenance,Southwest Florida Water Management District,,Internal,Southwest Florida Water Management District,27-SEP-21 03.43.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,2199,,28.271,-82.411,,E-384,Uplands,Enhancement,,,,,,,
21091,2021,Region 4,FL,Tampa Bay Estuary Program,Cypress Creek Land Donation,Donated Land,Donated pasture,Agriculture/Ranch Land,Land Acquisition,Yes,,0,N/A,Protect/improve/provide habitat for other wildlife,Protection,Southwest Florida Water Management District,,N/A,Southwest Florida Water Management District,27-SEP-21 03.10.00.000000000 PM -04:00,(8/10/2021 12:10:58 pm),,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,967,,28.261,-82.441,,E-371,Uplands,Enhancement,,,,,,,
21125,2021,Region 4,FL,Tampa Bay Estuary Program,Double Branch Nature Preserve,Herbicide application for exotic/invasive plant species removal and control.,Forest/Woodland along wih Tidal Wetland: Sheltered waters along the coast which are affected by both tides and freshwater run-off.,Forest/Woodland,Invasives Control/Removal - Vegetation,No,,0,19996,Protect/improve/provide habitat for other wildlife,Enhancement,Hillsborough County,,BOCC,Hillsborough County,28-SEP-21 11.30.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Coastal Uplands,,155,,28.01931,-82.62445,,E-385,Mix (estuarine and upland),Enhancement,,,,,,,
21327,2021,Region 4,FL,Tampa Bay Estuary Program,Duette Preserve Groundcover Restoration Project,"Vegetation removal by Foliar application of systemic herbicides from backpack and UTV mounted spray systems using Imazapyr, Aminopyralid, Glyphosate, and Triclopyr ester pursuant to label rates based by habitat type and adjacent vegetation composition as approved by County staff.  Seeding accomplished by County staff using local ecotype seed harvested at Duette Preserve in high quality habitat with growing season prescribed fire.  Seeds harvested by hand and using a tractor mounted flail-vac.  Seeds installed by hand spreading and use of a tractor mounted Grasslander seeder.","Duette Preserve contains the headwaters of Manatee River. A wide variety of game and non-game animals can be found out at Duette Preserve, including the burrowing owl, snowy egret, white ibis, gopher tortoise, and at least three endangered/threatened species. Duette Preserve is host to many of the native plant communities throughout Manatee County, providing protection and preservation of pine flatwoods, hardwood swamps, xeric oak scrub, depression marsh, and vast dry prairie.",Field/Meadow,Planting,No,,0,5000,Protect/improve/provide habitat for other wildlife,Reestablish,Manatee County,,Manatee County,Manatee County,28-SEP-21 08.26.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,8,,27.49994,-82.16416,,R-155,Uplands,Restoration,,,,,,,
21328,2021,Region 4,FL,Tampa Bay Estuary Program,Duette Preserve Habitat Management Activities,"Removal of feral hogs, preparation for prescribed fire, and targeted treatment of cogon grass and other invasive exotic plants. Foliar application of systemic herbicides from backpack and UTV mounted spray systems using Imazapyr, Aminopyralid, Glyphosate, and Triclopyr ester pursuant to label rates based by habitat type and adjacent vegetation composition as approved by County staff.","Duette Preserve contains the headwaters of Manatee River. A wide variety of game and non-game animals can be found out at Duette Preserve, including the burrowing owl, snowy egret, white ibis, gopher tortoise, and at least three endangered/threatened species. Duette Preserve is host to many of the native plant communities throughout Manatee County, providing protection and preservation of pine flatwoods, hardwood swamps, xeric oak scrub, depression marsh, and vast dry prairie.",Forest/Woodland,Invasives Control/Removal - Vegetation,,,0,85000,Protect/improve/provide habitat for other wildlife,Maintenance,Florida Fish and Wildlife Conservation Commission,,Florida Fish and Wildlife Conservation Commission,Manatee County,28-SEP-21 11.43.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,11000,,27.5157,-82.16713,,E-386,Uplands,Enhancement,,,,,,,
21140,2021,Region 4,FL,Tampa Bay Estuary Program,Eagle Lake Water Quality Improvements,"Pond & conveyance modification to create littoral zone, floating wetland islands, and stormwater harvesting elements.",Pond modification to add water quality treatment components.,Lake/Pond,Planting,No,,0,474600,Improve or protect water quality,Establishme,Pinellas County,n/a,Penny,Pinellas County,28-SEP-21 10.15.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Non-forested Freshwater Wetlands,,12.53,,27.93715,-82.76855,,R-156,Freshwater,Restoration,,,,,,,
21141,2021,Region 4,FL,Tampa Bay Estuary Program,Ed Center Loop North burn unit,ecological prescribed burn,Sandhill & flatwoods in Brooker Creek Preserve,Forest/Woodland,Prescribed Burn,No,,0,3000,Protect/improve/provide habitat for other wildlife,Enhancement,Florida Forest Service,Pinellas County,Services in lieu of rent for FFS work site,Pinellas County,28-SEP-21 11.45.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,30,,28.1389,-82.6591,,E-376,Uplands,Enhancement,,,,,,,
21096,2021,Region 4,FL,Tampa Bay Estuary Program,Ft. De Soto Park Exotic Vegetation Maintenance,"Herbicide treatment (glyphosate and triclopyr), re-treating areas currently in maintenance, rosary pea, air potato, Brazilian pepper, Australian almund tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, scaevola+ - all hardwoods basil treated or near water cut and stump treated with triclopyr, all others were foliar treated with glyphosate","Scrub, beach dune, coastal grassland, maritime hammock, shell mound, mesic flatwoods, tidal swamp, Public recreation",Other,Invasives Control/Removal - Vegetation,No,,0,43000,Protect/improve/provide habitat for other wildlife,Maintenance,Pinellas County Parks and Conservation Resources,None,Pinellas County Operating,Pinellas County,28-SEP-21 10.17.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Coastal Uplands,,575,,27.624,-82.715,,E-387,Other,Enhancement,,,,,,,
21103,2021,Region 4,FL,Tampa Bay Estuary Program,Gilley FY21 Habitat Maintenance,"Control of invasive plants including Cogon Grass, Brazilian Pepper Tree, prescribed burning, and hog control were conducted on the property to improve the habitat. Exotic plant control was conducted using one or more of the following as appropriate for existing conditions: Glyphosate (Roundup Custom, Roundup Pro Max, Alligare Glyphosate 5.4), Imazapyr (Ecomazapyr 2SL), Aminocylopyrachlor (Method 240SL), Triclopyr Ester (Element 4), Aminopyralid (Milestone).","Protects the main branch of Gilley Creek, a tributary of the Manatee River.  Consist of converted agriculture and undisturbed areas of native habitat.",Forest/Woodland,Invasives Control/Removal - Vegetation,No,,0,157117,Protect or preserve open space,Rehabilitat,Southwest Florida Water Management District,,Internal,Southwest Florida Water Management District,27-SEP-21 02.56.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Uplands (Non-coastal),,4059,,27.526,-82.265,,E-388,Uplands,Enhancement,,,,,,,
21158,2021,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day at Cockroach Bay,"30 volunteer planted 12000 Muhly Grass, mimosa, and coontie as part of the ongoing restoration efforts on Mount Cockroach at Cockroach Bay Nature Preserve.","Restored oyster mound now covered with grasses, wildflowers, and cycads",Grassland,Planting,,,280,280.45 (FY1,,Enhancement,Tampa Bay Estuary Program,Hillsborough COunty,,Hillsborough County,27-SEP-21 03.18.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Coastal Uplands,,,0.28,27.69233,-82.50412,1500,E-393,Uplands,Enhancement,,,,,,,
21165,2021,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day at Fort DeSoto,"Debris removal from Fort De Soto to reduce negative affects of trash on nesting birds and sea turtles. In total, 35 volunteers removed 78 lbs of debris from the area","Beach and sand dune area, adjacent coastal hammock and back dune.",Dune,Debris Removal,,,223,,,Maintenance,Tampa Bay Estuary Program,"Keep Pinellas Beautiful, IDEAS for US",,Florida Department of Environmental Protection,28-SEP-21 08.07.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Coastal Uplands,,,0.28,27.6427,-82.74093,1500,E-389,Uplands,Enhancement,,,,,,,
21160,2021,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day at Gandy Beach,This event was a great display of partnership to protect a beloved natural resource and debris hotspot. 25 volunteers attended and removed over 400 pound of debris from the beach access along Gandy beach,"Mangrove fringing coaseway, significant recreational use by paddlers who launch between the mangrove forests. Heavily utilized by native shorebirds for nesting",Mangrove,Debris Removal,,,296,296,,Maintenance,Tampa Bay Estuary Program,"Keep Pinellas Beautiful, Audubon Florida, St. Petersburg Audubon Society",,Florida Department of Transportation,28-SEP-21 08.14.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Mangrove Forests,,,0.02,27.87577,-82.59432,100,E-390,Estuarine,Enhancement,,,,,,,
21153,2021,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day at Robinson Preserve,20 volunteers planted 1000 wiregrass plugs at the Robinson Preserve expansion,"Coastal upland grassland/ meadow continually being restored, adjacent to Palma Sola Bay with mangrove fringe",Field Meadow,Planting,,,287,287,,Enhancement,Tampa Bay Estuary Program,Manatee County,,Manatee County,28-SEP-21 08.20.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Coastal Uplands,,0.25,0,27.49925,-82.66041,,E-395,Uplands,Enhancement,,,,,,,
21161,2021,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day at Salt Creek,This event was a celebration of initiation of restoration efforts at Salt Creek. Around 50 volunteers from around the area participated in the planting of 144 long leaf pine saplings and wiregrass pots,Local park with mostly manicured lawn along a tidal creek with a mangrove fringe,Field Meadow,Planting,,,535,535,,Enhancement,Tampa Bay Estuary Program,"City of St. Petersburg, Keep Pinellas Beautiful, Sigma Beta, Friends of Salt Creek",,City of St. Petersburg,27-SEP-21 03.16.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Coastal Uplands,,,0.11,27.74931,-82.64022,600,E-391,Mix (estuarine and upland),Enhancement,,,,,,,
21151,2021,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day for the Bay at 4th Street Fishing Pier,18 adults and 6 youths removed trash and debris washed in from the storm surge of Tropical Storm Eta at the St. Pete Fishing Pier.,"Mangrove fringing coaseway, significant recreational use by paddlers who launch between the mangrove forests.",Mangrove,Debris Removal,,,242,243,,Maintenance,Tampa Bay Estuary Program,Keep Pinellas Beautiful,,Florida Department of Transportation,27-SEP-21 03.25.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Mangrove Forests,,,0.19,27.89401,-82.63862,1000,E-392,Estuarine,Enhancement,,,,,,,
21325,2021,Region 4,FL,Tampa Bay Estuary Program,Hidden Harbor Restoration Out plantings,"Various coastal hammock and pine-flatwoods species were installed under multiple contracts, including slash pine, red bay, live oak, persimmon, and saw palmetto.","Hidden Harbor is a 135-acre park located along the Manatee River in the eastern portion of Lower Tampa Bay.  Hidden Harbor was acquired by Manatee County in 2004 and subsequently awarded a grant from the Florida Communities Trust under the Florida Forever Program. The site exhibits vegetative community and zonation appropriate with a non-disturbed riverine emergent wetland system, including zones of leatherfern, black needlerush, narrow transitional wetland, and coastal uplands.",Forest/Woodland,Planting,No,,0,58218,Protect/improve/provide habitat for other wildlife,Reestablish,Southwest Florida Water Management District,,Southwest Florida Water Management District,Manatee County,27-SEP-21 03.30.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Coastal Uplands,,30,,27.52532,-82.41948,,R-157,Uplands,Restoration,,,,,,,
21118,2021,Region 4,FL,Tampa Bay Estuary Program,Hillsborough River SP Longleaf Ecosystem Reclamation,"Prep work - brush removal, fire, invasives & bahia management 53ac; longleaf seedlings on 4 acres of prepped area",Abandoned dairy pasture being reclaimed to mesic flatwoods,Forest/Woodland,Invasives Control/Removal - Vegetation,,,0,49340,Protect/improve/provide habitat for other wildlife,Reestablish,FL Park Service w Longleaf Alliance funds through National Fish & Wildlife Foundation,,Longleaf Alliance/Nat'l Fish & Wildlife Foundation,FL Trustees/DEP,28-SEP-21 11.50.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,53,,28.14159,-82.23755,,R-158,Uplands,Restoration,,,,,,,
21434,2021,Region 4,FL,Tampa Bay Estuary Program,Invasive Removal at Manatee Viewing Center,"Volunteers removed 200 pounds of invasive plants (e.g., Brazilian pepper) and 9 bags of trash from the park.","Several habitats (mangroves, saltern, coastal uplands) as well as a wide variety of animal life are preserved within conservation areas. At the end of a walkway at the center, you can view manatees in Big Bend Power Station's discharge canal.",Mangrove,Invasives Control/Removal - Vegetation,,,0,200,Protect/improve/provide habitat for fish/shellfish,Maintenance,Keep Tampa Bay Beautiful,TECO,Keep Tampa Bay Beautiful,Hillsborugh County,28-SEP-21 11.21.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,,20,,27.793,-82.401,,E-398,Mix (estuarine and upland),Enhancement,,,,,,,
21431,2021,Region 4,FL,Tampa Bay Estuary Program,Invasive Removal at McKay Bay Nature Park,"Volunteers removed 10,600 pounds of invasive plants such as Brazilian pepper","McKay Bay Nature Park is a 38-acre park in Tampa. There is a 900-foot boardwalk trail through mangroves and mudflats, an observation tower that doubles as an education pavilion, a paved 1.25-mile multi-use trail and .5-mile nature trail. Picnic tables and interpretive signage are offered.",Mangrove,Invasives Control/Removal - Vegetation,,,0,3000,Protect/improve/provide habitat for fish/shellfish,Maintenance,Keep Tampa Bay Beautiful,Port Tampa Bay,Keep Tampa Bay Beautiful,City of Tampa,28-SEP-21 11.18.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XGRAULER,graulerson@tbep.org,Mangrove Forests,,2,,27.953,-82.421,,E-372,Estuarine,Enhancement,,,,,,,
