"View_Detail","Federal_Fiscal_Year","Region","State_Code","NEP_Name","Project_Name","Project_Description","Habitat_Description","Habitat_Type","Restoration_Technique","Donated_Land","Data_Unavailable","Total_Project_Cost","Project_Benefits","Activity_Name","Lead_Implementer","Partners","Main_Funding_Source","Site_Owner","Last_Updated_Date","NEP_Comments","HQ_Comments","HQ_Status","Region_Status","Author","Submitter_Email","PrimaryHabitat","SecondaryHabitat","EPA_Section_320","Acres","Miles","Latitude","Longitude","Feet","ID_Number","GeneralHabitat","GeneralActivity","BeforePhotoCredit","BeforePhotoCaption","DuringPhotoCredit","DuringPhotoCaption","AfterPhotoCredit","AfterPhotoCaption"
23717,2024,"Region 4","FL","Tampa Bay Estuary Program","Debris removal - Estuarine shoreline","545.25 lbs of debris removed from 7 sites throughout Pinellas County, lat/long is from one site at the St. Petersburg Pier","Intertidal estuarine habitat and shorelines","Estuarine Shoreline","Debris Removal","",NA,"","Improve or protect water quality","Maintenance","Keep Pinellas Beautiful","The Florida Aquarium, Center for Civic Engagement (USF), Reduce Single Use, Sunshine City w/ Kid","Keep Pinellas Beautiful","Various",NA,NA,NA,NA,NA,NA,NA,"Intertidal Estuarine (Other)",NA,NA,NA,3,27.7736,-82.6314,NA,NA,"Estuarine","Maintenance","","","","","",""
23718,2024,"Region 4","FL","Tampa Bay Estuary Program","Debris removal - Field/meadow","8090.77 lbs of debris from 60 sites throughout Pinellas County, lat/long is from one site at Keep Pinellas Beautiful North Garden","Upland field/meadow habitat","Field/Meadow","Debris Removal","",NA,"","Improve or protect water quality","Maintenance","Keep Pinellas Beautiful","Derrick Dix, City of Dunedin, Publix, Homeschool Group, Neighbor Association, City of Clearwater, Hope Spot Festival, Phi Theta Kappa, Old Southeast Neighborhood Association, Captains for Clean Water affiliate, Fusion 49th District, St. Pete DNA, Walker Whitney Residents, Old Southeast Neighborhood Association, Tarpon Springs High School, Clearwater Garden Club, 13th Street Heights Neighborhood, City of St. Pete, VFW Post 10304, Child's Park Neighborhood Association, The Vinoy, EDGE District Business Association, Friends of Ridgecrest, Hercules Sealing Products, Leila Davis School, Lotz of Blessings, St. Cecilia School, HPNA, City of Largo, Plaza Park Neighborhood, Tito's Vodka, Grand Central District, Largo High School, Voya Financial,
HPNFC/Largo, Countryside High School National Honor Society, James Museum, Summit School, Know Be 4, Palm Harbor Museum, Imaani Bilal, Edgewater District Neighborhood Association, MIMA Neighborhood Center, Scrubbin' da Burg","Keep Pinellas Beautiful","Various",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,NA,19.05,27.81777,-82.7316,NA,NA,"Uplands","Maintenance","","","","","",""
23721,2024,"Region 4","FL","Tampa Bay Estuary Program","Debris removal - Forest/Woodland","2139.87 lbs of litter removed from 12 sites throughout Pinellas County, lat/long is from one site at Boyd Hill Nature Preserve","Upland forest and woodland habitats","Forest/Woodland","Debris Removal","",NA,"","Improve or protect water quality","Maintenance","Keep Pinellas Beautiful","Pinellas County, Publix, Clearwater Threshers, Boyd Hill, TBEP/MLNP
St. Pete College, Unity Church, St. Cecilia School, MLNP Volunteers","Keep Pinellas Beautiful","Various",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,NA,4.5,27.72488,-82.65061,NA,NA,"Uplands","Maintenance","","","","","",""
23723,2024,"Region 4","FL","Tampa Bay Estuary Program","Debris removal - Lake/Pond","8873.69 lbs of debris removed at 32 sites throughout Pinellas County, lat/long is from one site at Mirror Lake","Non-forested freshwater wetland, lake/pond","Lake/Pond","Debris Removal","",NA,"","Improve or protect water quality","Maintenance","Keep Pinellas Beautiful","Stewards of Our Urban Lakes, Shorecrest School, Historic Uptown Neighborhood Association, Prince of Peace, Clearwater Marine Aquarium Conservation Team, Pinellas Count","Keep Pinellas Beautiful","Various",NA,NA,NA,NA,NA,NA,NA,"Non-forested Freshwater Wetlands",NA,NA,NA,34.91,27.4627,-82.38325,NA,NA,"Freshwater","Maintenance","","","","","",""
23725,2024,"Region 4","FL","Tampa Bay Estuary Program","Debris removal - Mangroves","20003.65 lbs of debris from 92 sites throughout Pinellas County, lat/long is from one site along the Courtney Campbell Causeway","Mangrove forests along estuarine shorelines","Mangrove","Debris Removal","",NA,"","Improve or protect water quality","Maintenance","Keep Pinellas Beautiful","High School Chapters, Pinellas County, Indi-ED, RGA, AZ College of Nursing, FIS, Leaders Against Littler (KPB), Island Estates Civic Association, HH Insurance, City of Gulfport, PODS, Cannabis Cultivating Community, Central Florida Subto, Scrubbin' da Burg, Coast Guard, City of Safety Harbor. Criteo, The Florida Aquarium, Ruth Eckerd Hall, Masonite Corp, Trash Turtles, USF Communications, SCUBAnauts International, ECOmersion
Sedgwick, Florida PIRG, CCC, Carrollwood Day School, USF Rotaract
Syniverse, Progressive Insurance, Hensel Phelps Construction Co., Catalina, DEP/Freedom Boat Club, L'Oreal, Syniverse Technologies, TRIBE, Raymond James, Ryan Nece Foundation, Masonite Corp, Jabil, CBWA, Franklin Street, Pepsi Co., Advent Health, Medovent Solutions, Scubanauts, Girl Scouts, 5.11 Tactical, Amerilife, Camden, TB Rays/Jabil, City of Clearwater, Safety Harbor Chamber, Johnson and Johnson, Pure Initiative
Tampa Bay Water, Goodwill, Mckinsey, KnowBe4, Silver + Welch Collective, Academy Prep, Seagram's, Pinellas County Solid Waste, WOW Internet,","Keep Pinellas Beautiful","Various",NA,NA,NA,NA,NA,NA,NA,"Mangrove Forests",NA,NA,NA,57.27,27.96114,-82.70409,NA,NA,"Estuarine","Maintenance","","","","","",""
23608,2024,"Region 4","FL","Tampa Bay Estuary Program","Duette Pasture Restoration","Groundcover Restoration via site prep and direct seeding","Pine Flatwoods","Uplands (Non-coastal)","Planting","No",NA,"$6,360.00","Protect/improve/provide habitat for other wildlife","Restoration","Manatee County","","Manatee County Government","Manatee County",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,20,NA,27.53115,-82.10477,NA,NA,"Uplands","Restoration","","","","","",""
23622,2024,"Region 4","FL","Tampa Bay Estuary Program","Duette Preserve FDOT Exotic Treatment Event 1","Exotic species treatment and removal","Wetland","Forested Freshwater Wetlands","Invasives Control/Removal - Vegetation","No",NA,"$9,742.70","Protect/improve/provide habitat for other wildlife","Maintenance","Manatee County","","Manatee County Government","Manatee County",NA,NA,NA,NA,NA,NA,NA,"Forested Freshwater Wetlands",NA,NA,13.6,NA,27.533,-82.091,NA,NA,"Freshwater","Maintenance","","","","","",""
23627,2024,"Region 4","FL","Tampa Bay Estuary Program","Duette Preserve FDOT Exotic Treatment Event 2","Exotic species treatment and removal","Wetland","Forested Freshwater Wetlands","Invasives Control/Removal - Vegetation","No",NA,"$39,592.94","Protect/improve/provide habitat for other wildlife","Maintenance","Manatee County","Florida Department of Transportation","Manatee County Government","Manatee County",NA,NA,NA,NA,NA,NA,NA,"Forested Freshwater Wetlands",NA,NA,69,NA,27.533,-82.091,NA,NA,"Freshwater","Maintenance","","","","","",""
23626,2024,"Region 4","FL","Tampa Bay Estuary Program","Duette Preserve FDOT Manatee County Staff Exotics Treatment","Exotic species treatment and removal","Wetland","Forested Freshwater Wetlands","Invasives Control/Removal - Vegetation","No",NA,"$1,000.00","Protect/improve/provide habitat for other wildlife","Maintenance","Manatee County","","Manatee County Government","Manatee County",NA,NA,NA,NA,NA,NA,NA,"Forested Freshwater Wetlands",NA,NA,10,NA,27.533,-82.091,NA,NA,"Freshwater","Maintenance","","","","","",""
23112,2024,"Region 4","FL","Tampa Bay Estuary Program","Eileen Reef Oyster Restoration in the Manatee River","Refer to slides at this URL for restoration technique. https://www.canva.com/design/DAGLEK6XgbA/I6LywzNCclrFxDnZhZFWRg/view?utm_content=DAGLEK6XgbA&utm_campaign=designshare&utm_medium=link&utm_source=editor

4000 vertical oyster garden anchors will be installed by Sept. 30, 2024.  10 acres are under permit through an oyster restoration aquaculture agreement permitted through the Florida Department of Agriculture and Consumer Services and their associated permit for shellfish aquaculture with the US Army Corps of Engineers.  We intend to scale up operations as funding is secured.","Transformation of silty/muddy bottom to subtidal oyster reefs.","Shell Bottom","Oyster Gardening","",NA,"","Improve or protect water quality
Improve/increase educational or recreational opportunities
Protect/improve/provide habitat for fish/shellfish
Protect/improve/provide habitat for other wildlife","Restoration","Oyster River Ecology","","Individual Donors","State of Florida",NA,NA,NA,NA,NA,NA,NA,"Oyster Bars",NA,NA,0.1,NA,27.52298,-82.48203,NA,NA,"Estuarine","Restoration","","","","","",""
23615,2024,"Region 4","FL","Tampa Bay Estuary Program","Emerson Point Expansion Acquisition","Acquisition of ecologically valuable coastal wetland and upland habitats","Mosaic - Coastal Upland & Wetland","Agriculture/Ranch Land","Land Acquisition","No",NA,"$15,500,000.00","Protect/improve/provide habitat for other wildlife","Protection","Manatee County","Florida Department of Environmental Protection","Manatee County Government","Manatee County",NA,NA,NA,NA,NA,NA,NA,"Coastal Uplands",NA,NA,97,NA,27.533,-82.619,NA,NA,"Uplands","Protection","","","","","",""
23699,2024,"Region 4","FL","Tampa Bay Estuary Program","Enterprise High School Beautification","40 shrubs/flowers planted in an upland field/meadow habitat at Enterprise High School","Upland field/meadow habitat","Field/Meadow","Planting","",NA,"","Protect/improve/provide habitat for other wildlife","Restoration","Keep Pinellas Beautiful","Enterprise High School","Keep Pinellas Beautiful","Clearwater",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,NA,NA,28.01216,-82.73701,NA,NA,"Uplands","Restoration","","","","","",""
23122,2024,"Region 4","FL","Tampa Bay Estuary Program","Felts Preserve Exotic Species Treatment","Contracted Treatment of Felts Preserve targeting Florida Invasive Species Council Category 1 & 2 exotic species.","Site wide treatment of FISC Cat 1 & 2 Invasive Exotic Species","Field/Meadow","Invasives Control/Removal - Vegetation","",NA,"","Protect/improve/provide habitat for birds","Maintenance","Manatee County Audubon Society","Oyster River Ecology","Manatee County Audubon Society","Manatee County Audubon Society",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,24.5,NA,27.55464,-82.53919,NA,NA,"Uplands","Maintenance","","","","","",""
23656,2024,"Region 4","FL","Tampa Bay Estuary Program","Gamble Plantation Historic State Park Invasive Vegetation Control","This is a habitat restoration project at the 33 acre Gamble Plantation Historic State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation.FY23-24 Habitat restoration activities completed included treatment of 4.113 acres of invasive vegetation within 20.3 gross acres of park property.","Forested Woodland Upland Habitat","Forest/Woodland","Invasives Control/Removal - Vegetation","",NA,"","Protect/improve/provide habitat for other wildlife","Maintenance","Florida Department of Environmental Protection - Division of Recreation and Parks","","Florida Department of Environmental Protection - Division of Recreation and Parks","State of Florida",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,4.113,NA,27.52301,-82.52646,NA,NA,"Uplands","Maintenance","","","","","",""
23403,2024,"Region 4","FL","Tampa Bay Estuary Program","Give-A-Day for the Bay- Duette Preserve Planting","Over 75 volunteers from Manatee County and the Tampa Bay Estuary Program networks came together to plant 17000 wiregrass plugs amid a pine flatwood. The flatwood had recently been burned. Wiregrass plugs were from a seed crop that came from another section of Duette Preserve. After volunteers planting the plugs, staff sprinkled in other native groundcovers seed to increase diversity of species.","Recently burned native pine flatwood area at the entrance of Duette Preserve. Property a mixture of scrub, grassland/prairie, and hardwood hammock.","Grassland","Planting","No",NA,"$400.00","Climate Change Adaption
Protect or preserve open space
Protect/improve/provide habitat for birds
Protect/improve/provide habitat for fish/shellfish
Protect/improve/provide habitat for other wildlife","Restoration","Manatee County","Publix
Sandhill Nursery
Tampa Bay Estuary Program
jerrys_wild_life","Section 320","Manatee County",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,3,NA,27.52839,-82.10001,NA,NA,"Uplands","Restoration","","","","","",""
23401,2024,"Region 4","FL","Tampa Bay Estuary Program","Give-A-Day for the Bay: Se7en Wetlands","Volunteers from the Tampa Bay Watershed and the City of Lakeland removed 50lbs of invasive grass species from field that is in the process of being restored to enhance pollinators.","Se7en Wetlands is a man-made wetland treatment system that provides water treatment for the City of Lakelands wastewater. It incorporates over 1,600 acres of uplands, marshes, and lakes. Each habitat is unique and supports a wide array of plants and animals.","Grassland","Invasives Control/Removal - Vegetation","No",NA,"$75.00","Improve/increase educational or recreational opportunities
Protect/improve/provide habitat for birds
Protect/improve/provide habitat for other wildlife","Maintenance","Tampa Bay Estuary Program","City of Lakeland","Section 320","City of Lakeland",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,NA,NA,27.9245,-81.9578,300,NA,"Uplands","Maintenance","","","","","",""
23618,2024,"Region 4","FL","Tampa Bay Estuary Program","Hidden Harbor Park Exotic Treatments","Exotic species treatment and removal","Pine Flatwoods","Coastal Uplands","Invasives Control/Removal - Vegetation","No",NA,"$12,000.00","Protect/improve/provide habitat for other wildlife","Maintenance","Manatee County","","Manatee County Government","Manatee County",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,46,NA,27.523,-82.42,NA,NA,"Uplands","Maintenance","","","","","",""
23701,2024,"Region 4","FL","Tampa Bay Estuary Program","High Point Neighborhood Family Center Beautification","62 shrubs/flowers planted in an upland field/meadow habitat in High Point neighborhood","Upland field/meadow habitat","Field/Meadow","Planting","",NA,"","Protect/improve/provide habitat for other wildlife","Restoration","Keep Pinellas Beautiful","","Keep Pinellas Beautiful","Pinellas County",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,NA,NA,27.90842,-82.71353,NA,NA,"Uplands","Restoration","","","","","",""
23659,2024,"Region 4","FL","Tampa Bay Estuary Program","Hillsborough River State Park Invasive Animal Control","This is a habitat restoration project at the 3,319 acre Hillsborough River State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation.  FY23-24 habitat restoration activities completed included removal of invasive animals (50 feral hogs).  Restoration is calculated at a 1:1 ratio hogs to acres.","Forested Woodland Upland Habitat","Forest/Woodland","Invasives Control/Removal - Fauna","",NA,"","Protect/improve/provide habitat for other wildlife","Maintenance","Florida Department of Environmental Protection - Division of Recreation and Parks","United States Department of Agriculture","Florida Department of Environmental Protection - Division of Recreation and Parks","State of Florida",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,50,NA,28.14342,-82.22679,NA,NA,"Uplands","Maintenance","","","","","",""
23641,2024,"Region 4","FL","Tampa Bay Estuary Program","Hillsborough River State Park Invasive Vegetation Control","This is a habitat restoration project at the 3,319 acre Hillsborough River State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation. FY23-24 Habitat restoration activities completed included treatment of 61.785 acres of invasive vegetation within 137.5 gross acres of park property, and 5 miles of trail maintenance.","Forested Woodland Upland Habitat","Forest/Woodland","Invasives Control/Removal - Vegetation","",NA,"","Protect/improve/provide habitat for other wildlife","Maintenance","Florida Department of Environmental Protection - Division of Recreation and Parks","Florida Conservation Corps","Florida Department of Environmental Protection - Division of Recreation and Parks","State of Florida",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,61.785,NA,28.14342,-82.22679,NA,NA,"Uplands","Maintenance","","","","","",""
23631,2024,"Region 4","FL","Tampa Bay Estuary Program","Hillsborough River State Park Prescribed Fire","This is a habitat protection project at the 3,319 acre Hillsborough River State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation.  FY23-24 habitat restoration activities completed included fire line prep, and 71 acres of prescribed fire to reduce fuel load and restore species diversity.","Forested Woodland Upland Habitat","Forest/Woodland","Prescribed Burn","",NA,"","Protect/improve/provide habitat for other wildlife","Maintenance","Florida Department of Environmental Protection - Division of Recreation and Parks","Florida Forest Service","Florida Department of Environmental Protection - Division of Recreation and Parks","State of Florida",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,71,NA,28.14342,-82.22679,NA,NA,"Uplands","Maintenance","","","","","",""
23104,2024,"Region 4","FL","Tampa Bay Estuary Program","Invasive plant treatment - Boyd Hill","Yearly invasive treatment of the Boyd Hill Nature Preserve.  Approximately 235 acres of preserve is treated twice yearly (every six months) for Class I invasives. Herbicide treatments along with manual, and mechanical techniques are utilized. The outcome of this long term maintenance treatment schedule will be the reduction of invasive plants threatening our native habitat, and the eventual reduction of chemical.","Over all Boyd Hill Nature Preserve property. Uplands and mesic hammock. Nature Preserve has an trail system used recreationally and for educational purposes.","Forest/Woodland","Invasives Control/Removal - Vegetation","No",NA,"$20,000.00","Improve/increase educational or recreational opportunities
Protect or preserve open space
Protect/improve/provide habitat for birds
Protect/improve/provide habitat for other wildlife","Maintenance","City of St. Petersburg","Boyd Hill Nature Preserve
Keifer Calkins","City of St. Petersburg","City of St Petersburg",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,235,NA,27.72,-82.65,NA,NA,"Uplands","Maintenance","","","","","",""
23103,2024,"Region 4","FL","Tampa Bay Estuary Program","Invasive vegetation treatment at Audubon sanctuary islands in Hillsborough Bay","Invasive vegetation on colonial waterbird nesting islands was cut and sprayed with herbicide to prevent overcrowding previous plantings of native shrubs and trees.  The habitat restoration aims to establish a diverse native upland plant community that serves as nesting habitat for colonial waterbirds.","Natural and dredge spoil islands that provide vital roosting and nesting habitat for colonial waterbirds","Island","Bird Habitat Enhancement","",NA,"","Protect/improve/provide habitat for birds","Restoration","Audubon Florida","","Audobon Florida","",NA,NA,NA,NA,NA,NA,NA,"Coastal Uplands",NA,NA,12,NA,27.84857,-82.40894,NA,NA,"Uplands","Restoration","","","","","",""
23660,2024,"Region 4","FL","Tampa Bay Estuary Program","Lake Manatee State Park Invasive Animal Control","This is a habitat restoration project at the 548 acre Lake Manatee State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation.  FY23-24 habitat restoration activities completed included removal of invasive animals (15 feral hogs).  Restoration is calculated at a 1:1 ratio hogs to acres.","Forested Woodland Upland Habitat","Forest/Woodland","Invasives Control/Removal - Vegetation","",NA,"","Protect/improve/provide habitat for other wildlife","Maintenance","Florida Department of Environmental Protection - Division of Recreation and Parks","United States Department of Agriculture","Florida Department of Environmental Protection - Division of Recreation and Parks","State of Florida",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,15,NA,27.47705,-82.34724,NA,NA,"Uplands","Maintenance","","","","","",""
23651,2024,"Region 4","FL","Tampa Bay Estuary Program","Lake Manatee State Park Invasive Vegetation control","This is a habitat restoration project at the 548 acre Lake Manatee State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation.  FY23-24 habitat restoration activities completed included treatment of 20.82 acres of vegetation within 280 gross acres of park proeprty, and trail maintenance.","Forested Woodland Upland Habitat","Forest/Woodland","Invasives Control/Removal - Vegetation","",NA,"","Protect/improve/provide habitat for other wildlife","Maintenance","Florida Department of Environmental Protection - Division of Recreation and Parks","","Florida Fish and Wildlife Conservation Commission - Invasive Plant Management","State of Florida",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,20.82,NA,27.47705,-82.34724,NA,NA,"Uplands","Maintenance","","","","","",""
23633,2024,"Region 4","FL","Tampa Bay Estuary Program","Lake Manatee State Park Prescribed Fire","This is a habitat restoration project at the 548 acre Lake Manatee State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation.  FY23-24 habitat restoration activities completed included fireline prep, and 61 acres of prescribed fire to reduce fuel load and restore species diversity.","Forested Woodland Upland Habitat","Forest/Woodland","Prescribed Burn","",NA,"","Protect/improve/provide habitat for other wildlife","Maintenance","Florida Department of Environmental Protection - Division of Recreation and Parks","Florida Forest Service","Florida Department of Environmental Protection - Division of Recreation and Parks","State of Florida",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,61,NA,27.47705,-82.34724,NA,NA,"Uplands","Maintenance","","","","","",""
23123,2024,"Region 4","FL","Tampa Bay Estuary Program","Lassing Park Living Shoreline Project","The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement program is to increase oyster populations in Tampa Bay while improving water quality, reducing erosion, promoting fish and wildlife habitats, and increasing coastal resilience. The Lassing Park Living Shoreline Creation Project consists of the installation of two types of substrate (Lo-Pro Reef Ball™ units and oyster shell bags filled with fossilized shell) for oyster larvae to settle upon and grow, eventually forming a functioning reef:. Sporobolus alterniflorous was also planted. The oyster reef ball fields were constructed waterward of the oyster shell reefs and along mangroves to provide wave attenuation for erosion control and habitat for marine life.","The pertinent habitat located within the footprint of the Lassing Park Living Shoreline project consists of hard pack sand and soft sediment (silt/sand). Lassing park is a public use park.  As one of the few unarmored shorelines, this area is inundated with high energy from both wind driven and boat driven wave action.  Resulting in a substantial erosion issue at the northern end of the park.","Estuarine Shoreline","Erosion Control","",NA,"","Erosion Control
Improve or protect water quality","Restoration","Tampa Bay Watch","City of St. Petersburg","City of St. Petersburg","City of St. Petersburg",NA,NA,NA,NA,NA,NA,NA,"Oyster Bars",NA,NA,0.46,NA,27.75547,-82.63002,NA,NA,"Estuarine","Restoration","","","","","",""
23646,2024,"Region 4","FL","Tampa Bay Estuary Program","Little Manatee River State Park Invasive Vegetation Control","This is a habitat restoration project at the 2,493 acre Little Manatee River State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation.  FY23-24 Habitat restoration activities completed included treatment of 26.294 acres of invasive vegetation within 480 gross acres of park property, and trail maintenance.","Forested Woodland Upland Habitat","Forest/Woodland","Invasives Control/Removal - Vegetation","",NA,"","Protect/improve/provide habitat for other wildlife","Maintenance","Florida Department of Environmental Protection - Division of Recreation and Parks","Florida Fish and Wildlife Conservation Commission - Invasive Plant Management; Florida Conservation Corps","Florida Fish and Wildlife Conservation Commission - Invasive Plant Management","State of Florida",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,26.294,NA,27.66312,-82.37375,NA,NA,"Uplands","Maintenance","","","","","",""
23105,2024,"Region 4","FL","Tampa Bay Estuary Program","Lower Green Swamp Upland Planting","Prior land use reduced floral diversity (especially understory and overstory).  The project increased diversity by re-introducing south Florida slash pine, elm, holly, cypress, longleaf pine, native bunch grasses (e.g., Fakahatchee, bluestem, lovegrass, piney woods dropseed), and forbs (e.g., silk-grass, spotted bee balm).  Planting occurred in random locations across a 1000-acre project area.","Site was formerly densely planted pine which was heavily thinned ~15 years ago.","Forest/Woodland","Planting","No",NA,"$8,000.00","Protect/improve/provide habitat for birds
Protect/improve/provide habitat for other wildlife","Restoration","Hillsborough County","Stephen Raymond","Hillsborough County","Hillsborough County",NA,NA,NA,NA,NA,NA,NA,"Uplands (Non-coastal)",NA,NA,300,NA,28.094,-82.095,NA,NA,"Uplands","Restoration","","","","","",""
23625,2024,"Region 4","FL","Tampa Bay Estuary Program","Manatee River Oyster Deployment - Manatee County Aquaculture Lease Area","Oyster Restoration","Oyster","Oyster Bars","Reef Construction - Natural Materials","No",NA,"$7,000.00","Improve or protect water quality","Restoration","Manatee County","Oyster River Ecology","Manatee County Government","SSL - State of Florida",NA,NA,NA,NA,NA,NA,NA,"Oyster Bars",NA,NA,0.06,NA,27.525,-82.484,NA,NA,"Estuarine","Restoration","","","","","",""
23111,2024,"Region 4","FL","Tampa Bay Estuary Program","Maximo Park Living Shoreline Project","The Maximo Park Living Shoreline project aims to protect park assets by installing oyster domes, oyster shell bags, and salt-tolerant native plants. This work will buffer wave action, absorb storm impacts, improve water quality, and provide coastal habitat.","Located off Pinellas Point Dr. S., Maximo Park provides water access to Frenchman Creek and Tampa Bay. This popular park is the largest of the four City of St. Petersburg's archaeological sites and is home to many cultural and historic artifacts. The coastlines of Maximo Park have experienced erosion that jeopardize natural, cultural, and historic assets.","Estuarine Shoreline","Shoreline Stabilization/Enhancement","",NA,"","Erosion Control
Improve or protect water quality
Improve/increase educational or recreational opportunities
Protect/improve/provide habitat for fish/shellfish
Protect/improve/provide habitat for other wildlife","Restoration","City of St. Petersburg","Florida Department of Environmental Protection
Tampa Bay Estuary Program
Tampa Bay Watch","Tampa Bay Estuary Program","City of St. Petersburg",NA,NA,NA,NA,NA,NA,NA,"Living Shorelines",NA,NA,NA,NA,27.70896,-82.68171,670,NA,"Estuarine","Restoration","","","City of St. Petersburg - Julie Vogel","Maximo Park Living Shoreline Project with reef balls and oyster bags installed","",""
23707,2024,"Region 4","FL","Tampa Bay Estuary Program","Mirror Lake Beautification","100 shrubs/flowers planted within a non-forested freshwater wetland along an urban lake","Non-forested freshwater wetland, lake/pond","Lake/Pond","Planting","",NA,"","Protect/improve/provide habitat for other wildlife","Restoration","Keep Pinellas Beautiful","Stewards of Our Urban Lakes","Keep Pinellas Beautiful","St. Petersburg",NA,NA,NA,NA,NA,NA,NA,"Non-forested Freshwater Wetlands",NA,NA,NA,1.65,27.4627,-82.38325,NA,NA,"Freshwater","Restoration","","","","","",""
23406,2024,"Region 4","FL","Tampa Bay Estuary Program","Mirror Lake Gateway Demonstration Project - Restoring Urban Lake Shorelines Through Volunteer Action","Funded by sales from the Tampa Bay Estuary specialty license plate, this project removed 1307 lbs of invasive debris were removed from the lake and surrounding area. Over 4 planting days, volunteers installed 485 native plants and 235 Florida native emergent wetland plants. In the upland area, Fakhahatchee grass, blanket flower, muhly grass and seaside ox-eye were planted.","Mirror Lake in St. Petersburg has experienced over a century of disturbance and use as passive recreational parkland. The lake shoreline presented a clear opportunity to restore natural biological diversity and littoral zone ecological function. The goal of the project was to demonstrate an approach to reversing the current condition and establish a self-sustaining stand of native vegetation in place of the existing mixed composition of native and invasive species.","Lake/Pond","Planting","No",NA,"$71,000.00","Improve or protect water quality
Protect/improve/provide habitat for birds
Protect/improve/provide habitat for fish/shellfish
Protect/improve/provide habitat for other wildlife","Maintenance","Stewards of Our Urban Lakes","City of St. Petersburg
Keep Pinellas Beautiful
LakeWatch
Surfings Evololution
Tampa Bay Estuary Program","In-Kind","City of St. Petersburg",NA,NA,NA,NA,NA,NA,NA,"Non-forested Freshwater Wetlands",NA,NA,NA,NA,27.77315,-82.64199,262,NA,"Freshwater","Maintenance","","","","","",""
